server_receive_ts,request_id,func_id,prompt_len,chosen_label,chosen_expert,orchestrator_time_ms,preprocess_time_ms,queue_time_ms,load_time_ms,inference_time_ms,total_time_ms,batch_size
1763936318.3204567,1,0,81,depression,depression,2.8374000103212893,2.8377000126056373,0.0,0.0,13847.236900008284,13851.409199996851,1
1763936318.6983087,0,0,81,depression,depression,1.9082000071648508,1.9084000086877495,0.0,3941.443600022467,20101.536599977408,24047.073099995032,1
1763936360.5497365,2,0,85,depression,depression,1.6976000042632222,1.6977999766822904,0.0,0.0,6085.463099996559,6087.612999981502,1
1763936409.6480834,3,0,98,ocd,ocd,1.138899999205023,1.1391000007279217,0.0,9021.105799998622,16141.273799992632,25164.11829998833,1
1763936439.4973657,4,0,70,schizophrenia,schizophrenia,2.879800013033673,2.88030001684092,0.0,9680.057699995814,15573.31300000078,25277.394600008847,1
1763936467.9243922,5,0,98,ocd,ocd,23.88809999683872,23.888399999123067,0.0,0.0,23637.083299981896,23661.348399997223,1
1763962855.4932861,0,0,85,depression,depression,1.3297000000420667,1.3299000002007233,2.042099999925995,5182.595500000161,27062.170799999876,32255.3276000001,4
1763962855.5265217,1,0,81,depression,depression,0.5518000000392931,0.551999999970576,1.2761000000409695,5182.595500000161,27062.170799999876,32271.844199999803,4
1763962855.5275247,2,0,81,depression,depression,0.45760000011796365,0.4576999999699183,0.6324000000859087,5182.595500000161,27062.170799999876,32272.015099999862,4
1763962855.5285244,3,0,81,depression,depression,0.43819999996230763,0.43830000004163594,0.09959999988495838,5182.595500000161,27062.170799999876,32272.148199999945,4
1763964383.9054973,3,1,89,depression,depression,1.9207999998798186,1.9212000001971319,122.83179999985805,4134.860000000117,21847.807900000134,26108.743700000105,2
1763964383.9054973,2,1,89,depression,depression,0.8164000000761007,0.81659999978001,121.61370000012539,4134.860000000117,21847.807900000134,26109.861799999635,2
1763964405.4994454,0,0,70,ocd,ocd,0.8588000000600005,0.8588999999119551,120.88989999983824,32056.150200000047,15519.551899999897,47698.233499999784,1
1763964425.1920195,1,0,85,anxiety,anxiety,0.8588000000600005,0.8588999999119551,121.43590000005133,51672.53449999998,15595.15169999986,67391.26999999963,1
1763964611.5157232,0,0,89,anxiety,anxiety,1.7717000000629923,1.7720999999255582,100.37610000017594,3789.8943999998664,47051.225900000194,50945.80809999979,2
1763964611.5542107,1,0,89,anxiety,anxiety,0.8984000000964443,0.8984999999483989,99.3785000000571,3789.8943999998664,47051.225900000194,50973.820199999864,2
1763964624.0358987,2,1,101,bipolar,bipolar,2.297099999850616,2.297200000157318,107.34559999991689,14955.566699999963,43554.19729999994,58637.414900000294,1
1763964642.5159101,3,1,109,ocd,ocd,1.3422000001810375,1.342300000032992,106.65120000021489,66093.14750000021,10909.498299999996,77112.8835999998,1
1763997120.5430915,0,0,89,anxiety,anxiety,3.9715000020805746,3.9720000022498425,99.42210000008345,3485.2877000012086,43379.771300002176,46970.38170000087,2
1763997120.574945,1,0,89,anxiety,anxiety,0.9191999997710809,0.9193999976560008,98.33479999724659,3485.2877000012086,43379.771300002176,46983.12629999782,2
