server_receive_ts,request_id,func_id,prompt_len,chosen_label,chosen_expert,orchestrator_time_ms,preprocess_time_ms,queue_time_ms,load_time_ms,inference_time_ms,total_time_ms,batch_size
1763997426.012097,1,0,70,ocd,ocd,14.163299998472212,14.163399999233661,61.3850999980059,671.6307000024244,8772.394700001314,9523.292599998967,2
1763997426.012097,0,0,98,ocd,ocd,0.9986000004573725,0.998699997580843,60.217399997782195,671.6307000024244,8772.394700001314,9510.522099997615,2
1763997431.2665083,2,1,106,bipolar,bipolar,3.0580999991798308,3.0582999970647506,45.645099999092054,917.1460999968986,8986.515799999324,9953.7657999972,2
1763997431.2665083,3,1,101,bipolar,bipolar,2.834999999322463,2.8352000008453615,42.4840999985463,917.1460999968986,8986.515799999324,9951.727600000595,2
1764003603.9761293,3,4,89,schizophrenia,schizophrenia,1.649800000450341,1.6505000021425076,56.21389999942039,1137.3419999981706,15066.438699999708,16263.112100001308,3
1764003603.9761293,9,4,79,schizophrenia,schizophrenia,1.2234999994689133,1.2237999981152825,52.72089999925811,1137.3419999981706,15066.438699999708,16260.610599998472,3
1764003603.9761293,11,0,70,schizophrenia,schizophrenia,0.7320000004256144,0.7321999983105343,47.14629999944009,1137.3419999981706,15066.438699999708,16255.312400000548,3
1764003609.477714,6,2,106,anxiety,anxiety,1.1057999981858302,1.106299998355098,57.5356000008469,17322.49380000212,4369.997699999658,21752.243499999167,1
1764003610.3149412,5,2,63,ocd,ocd,1.0177000003750436,1.0178999982599635,8.883200000127545,1073.325699999259,21498.606099998142,22584.815199999866,4
1764003610.3149412,8,2,76,ocd,ocd,0.8987000001070555,0.8990000023914035,7.676599998376332,1073.325699999259,21498.606099998142,22583.77119999932,4
1764003610.3149412,10,3,83,ocd,ocd,0.7809999988239724,0.7813000011083204,6.603300000278978,1073.325699999259,21498.606099998142,22582.700900002237,4
1764003610.3149412,13,3,75,ocd,ocd,0.6537000008393079,0.6539000023622066,3.832999998849118,1073.325699999259,21498.606099998142,22579.899899999873,4
